metric_code,date_time,week_num,value,location,status
fwater_ec,2025-08-02,2025-31,,GH1,non-numeric
fwater_ec,2025-08-03,2025-31,,GH1,non-numeric
fwater_ph,2024-12-30,2025-01,7.05,GH1,
fwater_ph,2024-12-31,2025-01,6.85,GH1,
fwater_ph,2025-01-01,2025-01,7.0,GH1,
fwater_ph,2025-01-02,2025-01,7.0,GH1,
fwater_ph,2025-01-03,2025-01,7.1,GH1,
fwater_ph,2025-01-04,2025-01,7.03,GH1,
fwater_ph,2025-01-05,2025-01,6.98,GH1,
fwater_ph,2025-01-06,2025-02,6.9,GH1,
fwater_ph,2025-01-07,2025-02,7.03,GH1,
fwater_ph,2025-01-08,2025-02,6.93,GH1,
fwater_ph,2025-01-09,2025-02,6.98,GH1,
fwater_ph,2025-01-10,2025-02,6.8,GH1,
fwater_ph,2025-01-11,2025-02,6.95,GH1,
fwater_ph,2025-01-12,2025-02,7.08,GH1,
fwater_ph,2025-01-13,2025-03,6.83,GH1,
fwater_ph,2025-01-14,2025-03,6.85,GH1,
fwater_ph,2025-01-15,2025-03,6.85,GH1,
fwater_ph,2025-01-16,2025-03,6.73,GH1,
fwater_ph,2025-01-17,2025-03,6.88,GH1,
fwater_ph,2025-01-18,2025-03,6.7,GH1,
fwater_ph,2025-01-19,2025-03,6.93,GH1,
fwater_ph,2025-01-20,2025-04,6.9,GH1,
fwater_ph,2025-01-21,2025-04,6.7,GH1,
fwater_ph,2025-01-22,2025-04,6.83,GH1,
fwater_ph,2025-01-23,2025-04,6.88,GH1,
fwater_ph,2025-01-24,2025-04,6.83,GH1,
fwater_ph,2025-01-25,2025-04,6.85,GH1,
fwater_ph,2025-01-26,2025-04,7.03,GH1,
fwater_ph,2025-01-27,2025-05,6.85,GH1,
fwater_ph,2025-01-28,2025-05,6.83,GH1,
fwater_ph,2025-01-29,2025-05,6.9,GH1,
fwater_ph,2025-01-30,2025-05,6.95,GH1,
fwater_ph,2025-01-31,2025-05,6.75,GH1,
