id,resource_tag,program_id,crop_id,group_tag,weekly_harvest_channels,alloc_date,seeding_date,target_seedlings,transplant_date,harvest_date,activity_status,seeding_rows,harvest_units,harvest_week_num,kg_harvested,units_harvested
2572,PNQ-GH2,892,11,2025-18,24,2025-05-15 00:00:00+00,2025-04-28 00:00:00+00,818,2025-05-26 00:00:00+00,2025-06-23 00:00:00+00,PGM_SIMULATION,48,744,2025-26,,
2573,PNQ-GH2,892,11,2025-19,24,2025-05-15 00:00:00+00,2025-05-05 00:00:00+00,818,2025-06-02 00:00:00+00,2025-06-30 00:00:00+00,PGM_SIMULATION,48,744,2025-27,,
2574,PNQ-GH2,892,11,2025-20,24,2025-05-15 00:00:00+00,2025-05-12 00:00:00+00,818,2025-06-09 00:00:00+00,2025-07-07 00:00:00+00,PGM_SIMULATION,48,744,2025-28,,
2575,PNQ-GH2,892,11,2025-13,24,2025-05-15 00:00:00+00,2025-03-24 00:00:00+00,818,2025-04-21 00:00:00+00,2025-05-19 00:00:00+00,PGM_SIMULATION,48,744,2025-21,17.1,1178
2576,PNQ-GH2,892,11,2025-14,24,2025-05-15 00:00:00+00,2025-03-31 00:00:00+00,818,2025-04-28 00:00:00+00,2025-05-26 00:00:00+00,PGM_SIMULATION,48,744,2025-22,5.9,558
2577,PNQ-GH2,892,11,2025-15,24,2025-05-15 00:00:00+00,2025-04-07 00:00:00+00,818,2025-05-05 00:00:00+00,2025-06-02 00:00:00+00,PGM_SIMULATION,48,744,2025-23,,
2578,PNQ-GH2,892,11,2025-16,24,2025-05-15 00:00:00+00,2025-04-14 00:00:00+00,818,2025-05-12 00:00:00+00,2025-06-09 00:00:00+00,PGM_SIMULATION,48,744,2025-24,,
2579,PNQ-GH2,892,11,2025-09,24,2025-05-15 00:00:00+00,2025-02-24 00:00:00+00,818,2025-03-24 00:00:00+00,2025-04-21 00:00:00+00,PGM_SIMULATION,48,744,2025-17,7.3,682
2580,PNQ-GH2,892,11,2025-10,24,2025-05-15 00:00:00+00,2025-03-03 00:00:00+00,818,2025-03-31 00:00:00+00,2025-04-28 00:00:00+00,PGM_SIMULATION,48,744,2025-18,10.5,494
2581,PNQ-GH2,892,11,2025-11,24,2025-05-15 00:00:00+00,2025-03-10 00:00:00+00,818,2025-04-07 00:00:00+00,2025-05-05 00:00:00+00,PGM_SIMULATION,48,744,2025-19,15.2,1240
2582,PNQ-GH2,892,11,2025-12,24,2025-05-15 00:00:00+00,2025-03-17 00:00:00+00,818,2025-04-14 00:00:00+00,2025-05-12 00:00:00+00,PGM_SIMULATION,48,744,2025-20,12.1,1519
2583,PNQ-GH2,892,11,2025-05,24,2025-05-15 00:00:00+00,2025-01-27 00:00:00+00,818,2025-02-24 00:00:00+00,2025-03-24 00:00:00+00,PGM_SIMULATION,48,744,2025-13,13.1,1488
2584,PNQ-GH2,892,11,2025-06,24,2025-05-15 00:00:00+00,2025-02-03 00:00:00+00,818,2025-03-03 00:00:00+00,2025-03-31 00:00:00+00,PGM_SIMULATION,48,744,2025-14,16.1,1488
2585,PNQ-GH2,892,11,2025-07,24,2025-05-15 00:00:00+00,2025-02-10 00:00:00+00,818,2025-03-10 00:00:00+00,2025-04-07 00:00:00+00,PGM_SIMULATION,48,744,2025-15,19.1,1519
2586,PNQ-GH2,892,11,2025-08,24,2025-05-15 00:00:00+00,2025-02-17 00:00:00+00,818,2025-03-17 00:00:00+00,2025-04-14 00:00:00+00,PGM_SIMULATION,48,744,2025-16,15,1215
2587,PNQ-GH2,892,11,2025-01,24,2025-05-15 00:00:00+00,2024-12-30 00:00:00+00,818,2025-01-27 00:00:00+00,2025-02-24 00:00:00+00,PGM_SIMULATION,48,744,2025-09,,
2588,PNQ-GH2,892,11,2025-02,24,2025-05-15 00:00:00+00,2025-01-06 00:00:00+00,818,2025-02-03 00:00:00+00,2025-03-03 00:00:00+00,PGM_SIMULATION,48,744,2025-10,27.5,1488
2589,PNQ-GH2,892,11,2025-03,24,2025-05-15 00:00:00+00,2025-01-13 00:00:00+00,818,2025-02-10 00:00:00+00,2025-03-10 00:00:00+00,PGM_SIMULATION,48,744,2025-11,33.6,1488
2590,PNQ-GH2,892,11,2025-04,24,2025-05-15 00:00:00+00,2025-01-20 00:00:00+00,818,2025-02-17 00:00:00+00,2025-03-17 00:00:00+00,PGM_SIMULATION,48,744,2025-12,14.7,1302
2591,PNQ-GH2,903,18,2025-17,11,2025-05-15 00:00:00+00,2025-04-21 00:00:00+00,375,2025-05-19 00:00:00+00,2025-06-16 00:00:00+00,PGM_SIMULATION,22,341,2025-25,,
2592,PNQ-GH2,903,18,2025-18,11,2025-05-15 00:00:00+00,2025-04-28 00:00:00+00,375,2025-05-26 00:00:00+00,2025-06-23 00:00:00+00,PGM_SIMULATION,22,341,2025-26,,
2593,PNQ-GH2,903,18,2025-19,11,2025-05-15 00:00:00+00,2025-05-05 00:00:00+00,375,2025-06-02 00:00:00+00,2025-06-30 00:00:00+00,PGM_SIMULATION,22,341,2025-27,,
2594,PNQ-GH2,903,18,2025-20,11,2025-05-15 00:00:00+00,2025-05-12 00:00:00+00,375,2025-06-09 00:00:00+00,2025-07-07 00:00:00+00,PGM_SIMULATION,22,341,2025-28,,
2596,PNQ-GH2,903,18,2025-14,11,2025-05-15 00:00:00+00,2025-03-31 00:00:00+00,375,2025-04-28 00:00:00+00,2025-05-26 00:00:00+00,PGM_SIMULATION,22,341,2025-22,2.5,372
2597,PNQ-GH2,903,18,2025-15,11,2025-05-15 00:00:00+00,2025-04-07 00:00:00+00,375,2025-05-05 00:00:00+00,2025-06-02 00:00:00+00,PGM_SIMULATION,22,341,2025-23,,
2598,PNQ-GH2,903,18,2025-16,11,2025-05-15 00:00:00+00,2025-04-14 00:00:00+00,375,2025-05-12 00:00:00+00,2025-06-09 00:00:00+00,PGM_SIMULATION,22,341,2025-24,,
2611,PNQ-GH2,894,20,2025-16,11,2025-05-15 00:00:00+00,2025-04-14 00:00:00+00,375,2025-05-08 00:00:00+00,2025-06-12 00:00:00+00,PGM_SIMULATION,22,341,2025-24,,
2612,PNQ-GH2,894,20,2025-17,11,2025-05-15 00:00:00+00,2025-04-21 00:00:00+00,375,2025-05-15 00:00:00+00,2025-06-19 00:00:00+00,PGM_SIMULATION,22,341,2025-25,,
2613,PNQ-GH2,894,20,2025-18,11,2025-05-15 00:00:00+00,2025-04-28 00:00:00+00,375,2025-05-22 00:00:00+00,2025-06-26 00:00:00+00,PGM_SIMULATION,22,341,2025-26,,
2614,PNQ-GH2,894,20,2025-19,11,2025-05-15 00:00:00+00,2025-05-05 00:00:00+00,375,2025-05-29 00:00:00+00,2025-07-03 00:00:00+00,PGM_SIMULATION,22,341,2025-27,,
2615,PNQ-GH2,894,20,2025-20,11,2025-05-15 00:00:00+00,2025-05-12 00:00:00+00,375,2025-06-05 00:00:00+00,2025-07-10 00:00:00+00,PGM_SIMULATION,22,341,2025-28,,
2616,PNQ-GH2,894,20,2025-11,11,2025-05-15 00:00:00+00,2025-03-10 00:00:00+00,375,2025-04-03 00:00:00+00,2025-05-08 00:00:00+00,PGM_SIMULATION,22,341,2025-19,3,1147
2617,PNQ-GH2,894,20,2025-12,11,2025-05-15 00:00:00+00,2025-03-17 00:00:00+00,375,2025-04-10 00:00:00+00,2025-05-15 00:00:00+00,PGM_SIMULATION,22,341,2025-20,1.4,465
2618,PNQ-GH2,894,20,2025-13,11,2025-05-15 00:00:00+00,2025-03-24 00:00:00+00,375,2025-04-17 00:00:00+00,2025-05-22 00:00:00+00,PGM_SIMULATION,22,341,2025-21,0.9,372
2619,PNQ-GH2,894,20,2025-14,11,2025-05-15 00:00:00+00,2025-03-31 00:00:00+00,375,2025-04-24 00:00:00+00,2025-05-29 00:00:00+00,PGM_SIMULATION,22,341,2025-22,,
2620,PNQ-GH2,894,20,2025-15,11,2025-05-15 00:00:00+00,2025-04-07 00:00:00+00,375,2025-05-01 00:00:00+00,2025-06-05 00:00:00+00,PGM_SIMULATION,22,341,2025-23,,
2621,PNQ-GH2,894,20,2025-06,11,2025-05-15 00:00:00+00,2025-02-03 00:00:00+00,375,2025-02-27 00:00:00+00,2025-04-03 00:00:00+00,PGM_SIMULATION,22,341,2025-14,9,368
2622,PNQ-GH2,894,20,2025-07,11,2025-05-15 00:00:00+00,2025-02-10 00:00:00+00,375,2025-03-06 00:00:00+00,2025-04-10 00:00:00+00,PGM_SIMULATION,22,341,2025-15,9.7,687
2623,PNQ-GH2,894,20,2025-08,11,2025-05-15 00:00:00+00,2025-02-17 00:00:00+00,375,2025-03-13 00:00:00+00,2025-04-17 00:00:00+00,PGM_SIMULATION,22,341,2025-16,4.3,310
