program_id,crop_id,crop_name,resource_tag,harvest_week_num,kg_harvested,units_harvested,seeding_date,transplant_date,harvest_date
895,9,Red Batavia,PNQ-GH3,2025-27,null,null,2025-05-05 00:00:00+00,2025-06-02 00:00:00+00,2025-06-30 00:00:00+00
899,8,Romaine,PNQ-GH3,2025-27,null,null,2025-05-12 00:00:00+00,2025-06-05 00:00:00+00,2025-06-30 00:00:00+00
905,42,Baby Romaine,PNQ-GH3,2025-28,null,null,2025-05-12 00:00:00+00,2025-06-09 00:00:00+00,2025-07-07 00:00:00+00
888,10,Green Batavia,PNQ-GH3,2025-28,null,null,2025-05-19 00:00:00+00,2025-06-12 00:00:00+00,2025-07-07 00:00:00+00
889,6,Green Salanova Butterhead,PNQ-GH3,2025-28,null,null,2025-05-19 00:00:00+00,2025-06-12 00:00:00+00,2025-07-07 00:00:00+00
891,5,Green Salanova Oakleaf,PNQ-GH3,2025-28,null,null,2025-05-19 00:00:00+00,2025-06-12 00:00:00+00,2025-07-07 00:00:00+00
895,9,Red Batavia,PNQ-GH3,2025-28,null,null,2025-05-12 00:00:00+00,2025-06-09 00:00:00+00,2025-07-07 00:00:00+00
899,8,Romaine,PNQ-GH3,2025-28,null,null,2025-05-19 00:00:00+00,2025-06-12 00:00:00+00,2025-07-07 00:00:00+00
905,42,Baby Romaine,PNQ-GH3,2025-29,null,null,2025-05-19 00:00:00+00,2025-06-16 00:00:00+00,2025-07-14 00:00:00+00
888,10,Green Batavia,PNQ-GH3,2025-29,null,null,2025-05-26 00:00:00+00,2025-06-19 00:00:00+00,2025-07-14 00:00:00+00
889,6,Green Salanova Butterhead,PNQ-GH3,2025-29,null,null,2025-05-26 00:00:00+00,2025-06-19 00:00:00+00,2025-07-14 00:00:00+00
891,5,Green Salanova Oakleaf,PNQ-GH3,2025-29,null,null,2025-05-26 00:00:00+00,2025-06-19 00:00:00+00,2025-07-14 00:00:00+00
895,9,Red Batavia,PNQ-GH3,2025-29,null,null,2025-05-19 00:00:00+00,2025-06-16 00:00:00+00,2025-07-14 00:00:00+00
899,8,Romaine,PNQ-GH3,2025-29,null,null,2025-05-26 00:00:00+00,2025-06-19 00:00:00+00,2025-07-14 00:00:00+00
905,42,Baby Romaine,PNQ-GH3,2025-30,null,null,2025-05-26 00:00:00+00,2025-06-23 00:00:00+00,2025-07-21 00:00:00+00
888,10,Green Batavia,PNQ-GH3,2025-30,null,null,2025-06-02 00:00:00+00,2025-06-26 00:00:00+00,2025-07-21 00:00:00+00
